time,Landbrug,Energi,Industri,Transport,Husholdning,
1990,22.03,24.37,8.07,11.76,5.11
1995,19.57,29.89,8.8,13.16,5.14
2000,18.77,22.75,8.9,13.25,4.16
2005,17.83,19.52,7.57,14.42,3.83
2010,14.99,20.52,5.45,13.93,3.5
2015,13.21,8.88,4.89,13.05,2.34
2020,15.14,2.66,4.97,13.49,1.87
2025,16.88,1.12,4.21,12.85,1.05
2030,15.94,0.24,3.49,11.52,0.51
